position,player,country,points,profile_url
290,Nathan Courrin,FRA,132,https://www.padelfip.com/es/player/nathan-courrin/
290,Simone Vaccari,ITA,132,https://www.padelfip.com/es/player/simone-vaccari/
290,Miguel Oliveira,POR,132,https://www.padelfip.com/es/player/miguel-oliveira/
293,Fabricio Parra Heck,ARG,131,https://www.padelfip.com/es/player/fabricio-parra-heck/
294,Juan Jose Dominguez Cruz,ESP,130,https://www.padelfip.com/es/player/juan-jose-dominguez-cruz/
295,Mattia Di Bari,ITA,129,https://www.padelfip.com/es/player/mattia-di-bari/
295,Sergio Esteban Barroso,ESP,129,https://www.padelfip.com/es/player/sergio-esteban-barroso/
297,Youssef Hossam,EGY,128,https://www.padelfip.com/es/player/youssef-hossam/
297,Naim Horacio Diaz,ARG,128,https://www.padelfip.com/es/player/naim-horacio-diaz/
299,Juan Ignacio Franco,ARG,126,https://www.padelfip.com/es/player/juan-ignacio-franco/
299,Antonio Palma,ITA,126,https://www.padelfip.com/es/player/antonio-palma/
